League,GameId,MatchId,WinTeam,LossTeam,BestOf,SeriesScore,Gamelength,Team1Gold,Team2Gold,Team1Kills,Team2Kills
LPL,LPL/2026 Season/Split 1 Playoffs_Finals_1_1,LPL/2026 Season/Split 1 Playoffs_Finals_1,Bilibili Gaming,JD Gaming,5.0,3-1,35:30,71732,68022,16,13
LPL,LPL/2026 Season/Split 1 Playoffs_Finals_1_2,LPL/2026 Season/Split 1 Playoffs_Finals_1,Bilibili Gaming,JD Gaming,5.0,3-1,29:55,67141,52735,27,10
LPL,LPL/2026 Season/Split 1 Playoffs_Finals_1_3,LPL/2026 Season/Split 1 Playoffs_Finals_1,JD Gaming,Bilibili Gaming,5.0,3-1,26:16,45162,51571,6,15
LPL,LPL/2026 Season/Split 1 Playoffs_Finals_1_4,LPL/2026 Season/Split 1 Playoffs_Finals_1,Bilibili Gaming,JD Gaming,5.0,3-1,33:41,59764,71060,6,17
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1_1,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1,Team WE,Top Esports,5.0,3-2,42:37,93460,81797,35,20
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1_2,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1,Top Esports,Team WE,5.0,3-2,30:34,57916,67262,14,22
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1_3,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1,Top Esports,Team WE,5.0,3-2,30:06,54079,70640,15,23
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1_4,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1,Team WE,Top Esports,5.0,3-2,37:28,76511,70122,18,11
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1_5,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_1,Top Esports,Team WE,5.0,3-2,35:44,68437,78104,16,23
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_2_1,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_2,Invictus Gaming,Ninjas in Pyjamas.CN,5.0,1-3,41:36,82541,83993,16,15
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_2_2,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_2,Ninjas in Pyjamas.CN,Invictus Gaming,5.0,1-3,32:20,55231,66874,3,12
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_2_3,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_2,Ninjas in Pyjamas.CN,Invictus Gaming,5.0,1-3,33:02,60369,67764,9,16
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_2_4,LPL/2026 Season/Split 1 Playoffs_Play-In Round 1_2,Ninjas in Pyjamas.CN,Invictus Gaming,5.0,1-3,32:51,56431,66797,4,14
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 2_1_1,LPL/2026 Season/Split 1 Playoffs_Play-In Round 2_1,LNG Esports,ThunderTalk Gaming,5.0,0-3,26:53,46298,55222,4,12
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 2_1_2,LPL/2026 Season/Split 1 Playoffs_Play-In Round 2_1,LNG Esports,ThunderTalk Gaming,5.0,0-3,43:02,86124,91891,20,29
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 2_1_3,LPL/2026 Season/Split 1 Playoffs_Play-In Round 2_1,LNG Esports,ThunderTalk Gaming,5.0,0-3,39:23,82569,72230,16,11
LPL,LPL/2026 Season/Split 1 Playoffs_Play-In Round 2_2_1,LPL/2026 Season/Split 1 Playoffs_Play-In Round 2_2,Oh My God,EDward Gaming,5.0,1-3,41:24,83832,83469,18,11
