role;championId;win;allies;enemies
BOTTOM;236;0;86,19,103,53;85,106,45,145,201
SUPPORT;53;0;86,19,103,236;85,106,45,145,201
TOP;10;1;120,133,29,350;122,28,5,51,910
JUNGLE;120;1;10,133,29,350;122,28,5,51,910
MIDDLE;133;1;10,120,29,350;122,28,5,51,910
BOTTOM;29;1;10,120,133,350;122,28,5,51,910
SUPPORT;350;1;10,120,133,29;122,28,5,51,910
TOP;122;0;28,5,51,910;10,120,133,29,350
JUNGLE;28;0;122,5,51,910;10,120,133,29,350
MIDDLE;5;0;122,28,51,910;10,120,133,29,350
BOTTOM;51;0;122,28,5,910;10,120,133,29,350
SUPPORT;910;0;122,28,5,51;10,120,133,29,350
TOP;8;1;91,800,222,37;516,233,38,22,201
JUNGLE;91;1;8,800,222,37;516,233,38,22,201
MIDDLE;800;1;8,91,222,37;516,233,38,22,201
BOTTOM;222;1;8,91,800,37;516,233,38,22,201
SUPPORT;37;1;8,91,800,222;516,233,38,22,201
TOP;516;0;233,38,22,201;8,91,800,222,37
JUNGLE;233;0;516,38,22,201;8,91,800,222,37
MIDDLE;38;0;516,233,22,201;8,91,800,222,37
BOTTOM;22;0;516,233,38,201;8,91,800,222,37
SUPPORT;201;0;516,233,38,22;8,91,800,222,37
TOP;14;1;60,103,360,111;23,233,112,29,117
JUNGLE;60;1;14,103,360,111;23,233,112,29,117
MIDDLE;103;1;14,60,360,111;23,233,112,29,117
BOTTOM;360;1;14,60,103,111;23,233,112,29,117
SUPPORT;111;1;14,60,103,360;23,233,112,29,117
TOP;23;0;233,112,29,117;14,60,103,360,111
JUNGLE;233;0;23,112,29,117;14,60,103,360,111
MIDDLE;112;0;23,233,29,117;14,60,103,360,111
BOTTOM;29;0;23,233,112,117;14,60,103,360,111
SUPPORT;117;0;23,233,112,29;14,60,103,360,111
TOP;122;1;64,96,145,78;41,233,161,51,57
JUNGLE;64;1;122,96,145,78;41,233,161,51,57
MIDDLE;96;1;122,64,145,78;41,233,161,51,57
BOTTOM;145;1;122,64,96,78;41,233,161,51,57
SUPPORT;78;1;122,64,96,145;41,233,161,51,57
TOP;41;0;233,161,51,57;122,64,96,145,78
JUNGLE;233;0;41,161,51,57;122,64,96,145,78
MIDDLE;161;0;41,233,51,57;122,64,96,145,78
BOTTOM;51;0;41,233,161,57;122,64,96,145,78
SUPPORT;57;0;41,233,161,51;122,64,96,145,78
TOP;98;0;106,234,18,26;887,141,45,51,412
JUNGLE;106;0;98,234,18,26;887,141,45,51,412
MIDDLE;234;0;98,106,18,26;887,141,45,51,412
BOTTOM;18;0;98,106,234,26;887,141,45,51,412
SUPPORT;26;0;98,106,234,18;887,141,45,51,412
TOP;887;1;141,45,51,412;98,106,234,18,26
JUNGLE;141;1;887,45,51,412;98,106,234,18,26
MIDDLE;45;1;887,141,51,412;98,106,234,18,26
BOTTOM;51;1;887,141,45,412;98,106,234,18,26
SUPPORT;412;1;887,141,45,51;98,106,234,18,26
TOP;98;1;56,13,202,60;14,32,161,110,40
JUNGLE;56;1;98,13,202,60;14,32,161,110,40
MIDDLE;13;1;98,56,202,60;14,32,161,110,40
BOTTOM;202;1;98,56,13,60;14,32,161,110,40
SUPPORT;60;1;98,56,13,202;14,32,161,110,40
TOP;14;0;32,161,110,40;98,56,13,202,60
JUNGLE;32;0;14,161,110,40;98,56,13,202,60
MIDDLE;161;0;14,32,110,40;98,56,13,202,60
BOTTOM;110;0;14,32,161,40;98,56,13,202,60
SUPPORT;40;0;14,32,161,110;98,56,13,202,60
TOP;80;1;203,84,895,40;110,56,268,119,16
JUNGLE;203;1;80,84,895,40;110,56,268,119,16
MIDDLE;84;1;80,203,895,40;110,56,268,119,16
BOTTOM;895;1;80,203,84,40;110,56,268,119,16
SUPPORT;40;1;80,203,84,895;110,56,268,119,16
TOP;110;0;56,268,119,16;80,203,84,895,40
JUNGLE;56;0;110,268,119,16;80,203,84,895,40
MIDDLE;268;0;110,56,119,16;80,203,84,895,40
BOTTOM;119;0;110,56,268,16;80,203,84,895,40
SUPPORT;16;0;110,56,268,119;80,203,84,895,40
TOP;10;0;131,103,22,50;110,56,901,29,117
JUNGLE;131;0;10,103,22,50;110,56,901,29,117
MIDDLE;103;0;10,131,22,50;110,56,901,29,117
BOTTOM;22;0;10,131,103,50;110,56,901,29,117
SUPPORT;50;0;10,131,103,22;110,56,901,29,117
TOP;110;1;56,901,29,117;10,131,103,22,50
JUNGLE;56;1;110,901,29,117;10,131,103,22,50
MIDDLE;901;1;110,56,29,117;10,131,103,22,50
BOTTOM;29;1;110,56,901,117;10,131,103,22,50
SUPPORT;117;1;110,56,901,29;10,131,103,22,50
TOP;106;0;9,45,18,22;82,131,55,21,161
JUNGLE;9;0;106,45,18,22;82,131,55,21,161
MIDDLE;45;0;106,9,18,22;82,131,55,21,161
BOTTOM;18;0;106,9,45,22;82,131,55,21,161
SUPPORT;22;0;106,9,45,18;82,131,55,21,161
TOP;82;1;131,55,21,161;106,9,45,18,22
JUNGLE;131;1;82,55,21,161;106,9,45,18,22
MIDDLE;55;1;82,131,21,161;106,9,45,18,22
BOTTOM;21;1;82,131,55,161;106,9,45,18,22
SUPPORT;161;1;82,131,55,21;106,9,45,18,22
TOP;58;1;234,800,81,235;238,799,136,21,147
JUNGLE;234;1;58,800,81,235;238,799,136,21,147
MIDDLE;800;1;58,234,81,235;238,799,136,21,147
BOTTOM;81;1;58,234,800,235;238,799,136,21,147
SUPPORT;235;1;58,234,800,81;238,799,136,21,147
TOP;238;0;799,136,21,147;58,234,800,81,235
JUNGLE;799;0;238,136,21,147;58,234,800,81,235
MIDDLE;136;0;238,799,21,147;58,234,800,81,235
BOTTOM;21;0;238,799,136,147;58,234,800,81,235
SUPPORT;147;0;238,799,136,21;58,234,800,81,235
TOP;223;0;33,38,50,25;98,131,61,236,37
JUNGLE;33;0;223,38,50,25;98,131,61,236,37
MIDDLE;38;0;223,33,50,25;98,131,61,236,37
BOTTOM;50;0;223,33,38,25;98,131,61,236,37
SUPPORT;25;0;223,33,38,50;98,131,61,236,37
TOP;98;1;131,61,236,37;223,33,38,50,25
JUNGLE;131;1;98,61,236,37;223,33,38,50,25
MIDDLE;61;1;98,131,236,37;223,33,38,50,25
BOTTOM;236;1;98,131,61,37;223,33,38,50,25
SUPPORT;37;1;98,131,61,236;223,33,38,50,25
TOP;10;1;799,142,81,267;86,107,4,145,117
JUNGLE;799;1;10,142,81,267;86,107,4,145,117
MIDDLE;142;1;10,799,81,267;86,107,4,145,117
BOTTOM;81;1;10,799,142,267;86,107,4,145,117
SUPPORT;267;1;10,799,142,81;86,107,4,145,117
TOP;86;0;107,4,145,117;10,799,142,81,267
JUNGLE;107;0;86,4,145,117;10,799,142,81,267
MIDDLE;4;0;86,107,145,117;10,799,142,81,267
BOTTOM;145;0;86,107,4,117;10,799,142,81,267
SUPPORT;117;0;86,107,4,145;10,799,142,81,267
TOP;122;1;876,238,523,267;904,64,18,67,117
JUNGLE;876;1;122,238,523,267;904,64,18,67,117
MIDDLE;238;1;122,876,523,267;904,64,18,67,117
BOTTOM;523;1;122,876,238,267;904,64,18,67,117
SUPPORT;267;1;122,876,238,523;904,64,18,67,117
TOP;904;0;64,18,67,117;122,876,238,523,267
JUNGLE;64;0;904,18,67,117;122,876,238,523,267
MIDDLE;18;0;904,64,67,117;122,876,238,523,267
BOTTOM;67;0;904,64,18,117;122,876,238,523,267
SUPPORT;117;0;904,64,18,67;122,876,238,523,267
TOP;14;0;245,800,21,111;27,121,99,901,235
JUNGLE;245;0;14,800,21,111;27,121,99,901,235
MIDDLE;800;0;14,245,21,111;27,121,99,901,235
BOTTOM;21;0;14,245,800,111;27,121,99,901,235
SUPPORT;111;0;14,245,800,21;27,121,99,901,235
TOP;27;1;121,99,901,235;14,245,800,21,111
JUNGLE;121;1;27,99,901,235;14,245,800,21,111
MIDDLE;99;1;27,121,901,235;14,245,800,21,111
BOTTOM;901;1;27,121,99,235;14,245,800,21,111
SUPPORT;235;1;27,121,99,901;14,245,800,21,111
TOP;62;0;141,84,22,201;36,233,711,119,43
JUNGLE;141;0;62,84,22,201;36,233,711,119,43
MIDDLE;84;0;62,141,22,201;36,233,711,119,43
BOTTOM;22;0;62,141,84,201;36,233,711,119,43
SUPPORT;201;0;62,141,84,22;36,233,711,119,43
TOP;36;1;233,711,119,43;62,141,84,22,201
JUNGLE;233;1;36,711,119,43;62,141,84,22,201
MIDDLE;711;1;36,233,119,43;62,141,84,22,201
BOTTOM;119;1;36,233,711,43;62,141,84,22,201
SUPPORT;43;1;36,233,711,119;62,141,84,22,201
TOP;83;0;233,112,804,350;122,904,101,145,44
JUNGLE;233;0;83,112,804,350;122,904,101,145,44
MIDDLE;112;0;83,233,804,350;122,904,101,145,44
BOTTOM;804;0;83,233,112,350;122,904,101,145,44
SUPPORT;350;0;83,233,112,804;122,904,101,145,44
TOP;122;1;904,101,145,44;83,233,112,804,350
JUNGLE;904;1;122,101,145,44;83,233,112,804,350
MIDDLE;101;1;122,904,145,44;83,233,112,804,350
BOTTOM;145;1;122,904,101,44;83,233,112,804,350
SUPPORT;44;1;122,904,101,145;83,233,112,804,350
TOP;14;0;143,84,21,267;110,904,90,901,902
JUNGLE;143;0;14,84,21,267;110,904,90,901,902
MIDDLE;84;0;14,143,21,267;110,904,90,901,902
BOTTOM;21;0;14,143,84,267;110,904,90,901,902
SUPPORT;267;0;14,143,84,21;110,904,90,901,902
TOP;110;1;904,90,901,902;14,143,84,21,267
JUNGLE;904;1;110,90,901,902;14,143,84,21,267
MIDDLE;90;1;110,904,901,902;14,143,84,21,267
BOTTOM;901;1;110,904,90,902;14,143,84,21,267
SUPPORT;902;1;110,904,90,901;14,143,84,21,267
TOP;223;1;64,68,42,888;58,254,800,804,43
JUNGLE;64;1;223,68,42,888;58,254,800,804,43
MIDDLE;68;1;223,64,42,888;58,254,800,804,43
BOTTOM;42;1;223,64,68,888;58,254,800,804,43
SUPPORT;888;1;223,64,68,42;58,254,800,804,43
TOP;58;0;254,800,804,43;223,64,68,42,888
JUNGLE;254;0;58,800,804,43;223,64,68,42,888
MIDDLE;800;0;58,254,804,43;223,64,68,42,888
BOTTOM;804;0;58,254,800,43;223,64,68,42,888
SUPPORT;43;0;58,254,800,804;223,64,68,42,888
TOP;150;1;102,90,18,32;54,234,517,14,111
JUNGLE;102;1;150,90,18,32;54,234,517,14,111
MIDDLE;90;1;150,102,18,32;54,234,517,14,111
BOTTOM;18;1;150,102,90,32;54,234,517,14,111
SUPPORT;32;1;150,102,90,18;54,234,517,14,111
TOP;54;0;234,517,14,111;150,102,90,18,32
JUNGLE;234;0;54,517,14,111;150,102,90,18,32
MIDDLE;517;0;54,234,14,111;150,102,90,18,32
BOTTOM;14;0;54,234,517,111;150,102,90,18,32
SUPPORT;111;0;54,234,517,14;150,102,90,18,32
TOP;2;1;154,157,236,99;875,120,245,29,267
JUNGLE;154;1;2,157,236,99;875,120,245,29,267
MIDDLE;157;1;2,154,236,99;875,120,245,29,267
BOTTOM;236;1;2,154,157,99;875,120,245,29,267
SUPPORT;99;1;2,154,157,236;875,120,245,29,267
TOP;875;0;120,245,29,267;2,154,157,236,99
JUNGLE;120;0;875,245,29,267;2,154,157,236,99
MIDDLE;245;0;875,120,29,267;2,154,157,236,99
BOTTOM;29;0;875,120,245,267;2,154,157,236,99
SUPPORT;267;0;875,120,245,29;2,154,157,236,99
TOP;266;0;11,711,81,117;58,238,34,145,902
JUNGLE;11;0;266,711,81,117;58,238,34,145,902
MIDDLE;711;0;266,11,81,117;58,238,34,145,902
BOTTOM;81;0;266,11,711,117;58,238,34,145,902
SUPPORT;117;0;266,11,711,81;58,238,34,145,902
TOP;58;1;238,34,145,902;266,11,711,81,117
JUNGLE;238;1;58,34,145,902;266,11,711,81,117
MIDDLE;34;1;58,238,145,902;266,11,711,81,117
BOTTOM;145;1;58,238,34,902;266,11,711,81,117
SUPPORT;902;1;58,238,34,145;266,11,711,81,117
TOP;126;1;30,157,81,12;82,63,893,21,412
JUNGLE;30;1;126,157,81,12;82,63,893,21,412
MIDDLE;157;1;126,30,81,12;82,63,893,21,412
BOTTOM;81;1;126,30,157,12;82,63,893,21,412
SUPPORT;12;1;126,30,157,81;82,63,893,21,412
TOP;82;0;63,893,21,412;126,30,157,81,12
JUNGLE;63;0;82,893,21,412;126,30,157,81,12
MIDDLE;893;0;82,63,21,412;126,30,157,81,12
BOTTOM;21;0;82,63,893,412;126,30,157,81,12
SUPPORT;412;0;82,63,893,21;126,30,157,81,12
TOP;516;0;141,127,51,902;39,102,142,360,80
JUNGLE;141;0;516,127,51,902;39,102,142,360,80
MIDDLE;127;0;516,141,51,902;39,102,142,360,80
BOTTOM;51;0;516,141,127,902;39,102,142,360,80
SUPPORT;902;0;516,141,127,51;39,102,142,360,80
TOP;39;1;102,142,360,80;516,141,127,51,902
JUNGLE;102;1;39,142,360,80;516,141,127,51,902
MIDDLE;142;1;39,102,360,80;516,141,127,51,902
BOTTOM;360;1;39,102,142,80;516,141,127,51,902
SUPPORT;80;1;39,102,142,360;516,141,127,51,902
TOP;14;1;517,238,119,40;157,54,131,22,63
JUNGLE;517;1;14,238,119,40;157,54,131,22,63
MIDDLE;238;1;14,517,119,40;157,54,131,22,63
BOTTOM;119;1;14,517,238,40;157,54,131,22,63
SUPPORT;40;1;14,517,238,119;157,54,131,22,63
TOP;157;0;54,131,22,63;14,517,238,119,40
JUNGLE;54;0;157,131,22,63;14,517,238,119,40
MIDDLE;131;0;157,54,22,63;14,517,238,119,40
BOTTOM;22;0;157,54,131,63;14,517,238,119,40
SUPPORT;63;0;157,54,131,22;14,517,238,119,40
TOP;36;1;246,136,901,117;54,56,45,18,37
JUNGLE;246;1;36,136,901,117;54,56,45,18,37
MIDDLE;136;1;36,246,901,117;54,56,45,18,37
BOTTOM;901;1;36,246,136,117;54,56,45,18,37
SUPPORT;117;1;36,246,136,901;54,56,45,18,37
TOP;54;0;56,45,18,37;36,246,136,901,117
JUNGLE;56;0;54,45,18,37;36,246,136,901,117
MIDDLE;45;0;54,56,18,37;36,246,136,901,117
BOTTOM;18;0;54,56,45,37;36,246,136,901,117
SUPPORT;37;0;54,56,45,18;36,246,136,901,117
TOP;875;1;131,3,51,267;39,107,518,202,53
JUNGLE;131;1;875,3,51,267;39,107,518,202,53
MIDDLE;3;1;875,131,51,267;39,107,518,202,53
BOTTOM;51;1;875,131,3,267;39,107,518,202,53
SUPPORT;267;1;875,131,3,51;39,107,518,202,53
TOP;39;0;107,518,202,53;875,131,3,51,267
JUNGLE;107;0;39,518,202,53;875,131,3,51,267
MIDDLE;518;0;39,107,202,53;875,131,3,51,267
BOTTOM;202;0;39,107,518,53;875,131,3,51,267
SUPPORT;53;0;39,107,518,202;875,131,3,51,267
TOP;39;0;35,142,202,12;157,126,517,895,89
JUNGLE;35;0;39,142,202,12;157,126,517,895,89
MIDDLE;142;0;39,35,202,12;157,126,517,895,89
BOTTOM;202;0;39,35,142,12;157,126,517,895,89
SUPPORT;12;0;39,35,142,202;157,126,517,895,89
TOP;157;1;126,517,895,89;39,35,142,202,12
JUNGLE;126;1;157,517,895,89;39,35,142,202,12
MIDDLE;517;1;157,126,895,89;39,35,142,202,12
BOTTOM;895;1;157,126,517,89;39,35,142,202,12
SUPPORT;89;1;157,126,517,895;39,35,142,202,12
TOP;31;1;11,136,29,25;516,233,112,901,90
JUNGLE;11;1;31,136,29,25;516,233,112,901,90
MIDDLE;136;1;31,11,29,25;516,233,112,901,90
BOTTOM;29;1;31,11,136,25;516,233,112,901,90
SUPPORT;25;1;31,11,136,29;516,233,112,901,90
TOP;516;0;233,112,901,90;31,11,136,29,25
JUNGLE;233;0;516,112,901,90;31,11,136,29,25
MIDDLE;112;0;516,233,901,90;31,11,136,29,25
BOTTOM;901;0;516,233,112,90;31,11,136,29,25
SUPPORT;90;0;516,233,112,901;31,11,136,29,25
TOP;10;0;107,90,145,350;110,121,142,22,902
JUNGLE;107;0;10,90,145,350;110,121,142,22,902
MIDDLE;90;0;10,107,145,350;110,121,142,22,902
BOTTOM;145;0;10,107,90,350;110,121,142,22,902
SUPPORT;350;0;10,107,90,145;110,121,142,22,902
TOP;110;1;121,142,22,902;10,107,90,145,350
JUNGLE;121;1;110,142,22,902;10,107,90,145,350
MIDDLE;142;1;110,121,22,902;10,107,90,145,350
BOTTOM;22;1;110,121,142,902;10,107,90,145,350
SUPPORT;902;1;110,121,142,22;10,107,90,145,350
TOP;875;1;24,110,22,43;31,107,45,15,201
JUNGLE;24;1;875,110,22,43;31,107,45,15,201
MIDDLE;110;1;875,24,22,43;31,107,45,15,201
BOTTOM;22;1;875,24,110,43;31,107,45,15,201
SUPPORT;43;1;875,24,110,22;31,107,45,15,201
TOP;31;0;107,45,15,201;875,24,110,22,43
JUNGLE;107;0;31,45,15,201;875,24,110,22,43
MIDDLE;45;0;31,107,15,201;875,24,110,22,43
BOTTOM;15;0;31,107,45,201;875,24,110,22,43
SUPPORT;201;0;31,107,45,15;875,24,110,22,43
TOP;75;1;102,90,804,201;50,234,8,15,117
JUNGLE;102;1;75,90,804,201;50,234,8,15,117
MIDDLE;90;1;75,102,804,201;50,234,8,15,117
BOTTOM;804;1;75,102,90,201;50,234,8,15,117
SUPPORT;201;1;75,102,90,804;50,234,8,15,117
TOP;50;0;234,8,15,117;75,102,90,804,201
JUNGLE;234;0;50,8,15,117;75,102,90,804,201
MIDDLE;8;0;50,234,15,117;75,102,90,804,201
BOTTOM;15;0;50,234,8,117;75,102,90,804,201
SUPPORT;117;0;50,234,8,15;75,102,90,804,201
TOP;133;0;20,1,236,888;41,131,157,901,201
JUNGLE;20;0;133,1,236,888;41,131,157,901,201
MIDDLE;1;0;133,20,236,888;41,131,157,901,201
BOTTOM;236;0;133,20,1,888;41,131,157,901,201
SUPPORT;888;0;133,20,1,236;41,131,157,901,201
TOP;41;1;131,157,901,201;133,20,1,236,888
JUNGLE;131;1;41,157,901,201;133,20,1,236,888
MIDDLE;157;1;41,131,901,201;133,20,1,236,888
