League,GameId,MatchId,WinTeam,LossTeam,BestOf,SeriesScore,Gamelength,Team1Gold,Team2Gold,Team1Kills,Team2Kills
LPL,LPL/2025 Season/Grand Finals_Round 1_4_1,LPL/2025 Season/Grand Finals_Round 1_4,Top Esports,Ninjas in Pyjamas.CN,5.0,3-1,28:11,62210,47457,29,11
LPL,LPL/2025 Season/Grand Finals_Round 1_4_2,LPL/2025 Season/Grand Finals_Round 1_4,Ninjas in Pyjamas.CN,Top Esports,5.0,3-1,31:14,60064,54467,14,15
LPL,LPL/2025 Season/Grand Finals_Round 1_4_3,LPL/2025 Season/Grand Finals_Round 1_4,Top Esports,Ninjas in Pyjamas.CN,5.0,3-1,38:06,76082,64900,23,17
LPL,LPL/2025 Season/Grand Finals_Round 1_4_4,LPL/2025 Season/Grand Finals_Round 1_4,Top Esports,Ninjas in Pyjamas.CN,5.0,3-1,30:04,66122,50628,28,9
LPL,LPL/2025 Season/Grand Finals_Round 1_5_1,LPL/2025 Season/Grand Finals_Round 1_5,EDward Gaming,JD Gaming,5.0,2-3,39:43,78247,69858,20,20
LPL,LPL/2025 Season/Grand Finals_Round 1_5_2,LPL/2025 Season/Grand Finals_Round 1_5,JD Gaming,EDward Gaming,5.0,2-3,40:38,80291,72565,25,16
LPL,LPL/2025 Season/Grand Finals_Round 1_5_3,LPL/2025 Season/Grand Finals_Round 1_5,EDward Gaming,JD Gaming,5.0,2-3,27:36,57181,42587,16,1
LPL,LPL/2025 Season/Grand Finals_Round 1_5_4,LPL/2025 Season/Grand Finals_Round 1_5,JD Gaming,EDward Gaming,5.0,2-3,34:04,64114,55028,20,6
LPL,LPL/2025 Season/Grand Finals_Round 1_5_5,LPL/2025 Season/Grand Finals_Round 1_5,JD Gaming,EDward Gaming,5.0,2-3,30:53,47752,57149,7,17
LPL,LPL/2025 Season/Grand Finals_Round 1_6_1,LPL/2025 Season/Grand Finals_Round 1_6,Ninjas in Pyjamas.CN,Anyone's Legend,5.0,1-3,31:56,61429,54254,17,11
LPL,LPL/2025 Season/Grand Finals_Round 1_6_2,LPL/2025 Season/Grand Finals_Round 1_6,Anyone's Legend,Ninjas in Pyjamas.CN,5.0,1-3,27:46,58531,46011,24,13
LPL,LPL/2025 Season/Grand Finals_Round 1_6_3,LPL/2025 Season/Grand Finals_Round 1_6,Anyone's Legend,Ninjas in Pyjamas.CN,5.0,1-3,30:30,52981,59027,15,18
LPL,LPL/2025 Season/Grand Finals_Round 1_6_4,LPL/2025 Season/Grand Finals_Round 1_6,Anyone's Legend,Ninjas in Pyjamas.CN,5.0,1-3,25:08,40083,53561,4,27
LPL,LPL/2025 Season/Grand Finals_Round 2_1_1,LPL/2025 Season/Grand Finals_Round 2_1,Bilibili Gaming,Invictus Gaming,5.0,1-3,27:58,59663,48221,23,9
LPL,LPL/2025 Season/Grand Finals_Round 2_1_2,LPL/2025 Season/Grand Finals_Round 2_1,Bilibili Gaming,Invictus Gaming,5.0,1-3,27:36,43452,57449,3,16
LPL,LPL/2025 Season/Grand Finals_Round 2_1_3,LPL/2025 Season/Grand Finals_Round 2_1,Invictus Gaming,Bilibili Gaming,5.0,1-3,30:10,59768,46458,22,10
LPL,LPL/2025 Season/Grand Finals_Round 2_1_4,LPL/2025 Season/Grand Finals_Round 2_1,Bilibili Gaming,Invictus Gaming,5.0,1-3,31:32,57877,52072,12,8
LPL,LPL/2025 Season/Grand Finals_Round 2_2_1,LPL/2025 Season/Grand Finals_Round 2_2,Top Esports,Weibo Gaming,5.0,3-1,35:10,72540,61521,21,17
LPL,LPL/2025 Season/Grand Finals_Round 2_2_2,LPL/2025 Season/Grand Finals_Round 2_2,Top Esports,Weibo Gaming,5.0,3-1,36:57,63112,71517,13,23
LPL,LPL/2025 Season/Grand Finals_Round 2_2_3,LPL/2025 Season/Grand Finals_Round 2_2,Weibo Gaming,Top Esports,5.0,3-1,28:07,63625,41975,30,4
LPL,LPL/2025 Season/Grand Finals_Round 2_2_4,LPL/2025 Season/Grand Finals_Round 2_2,Top Esports,Weibo Gaming,5.0,3-1,30:54,58218,51592,14,9
LPL,LPL/2025 Season/Grand Finals_Round 2_3_1,LPL/2025 Season/Grand Finals_Round 2_3,JD Gaming,Weibo Gaming,5.0,1-3,31:49,62306,52647,14,5
LPL,LPL/2025 Season/Grand Finals_Round 2_3_2,LPL/2025 Season/Grand Finals_Round 2_3,JD Gaming,Weibo Gaming,5.0,1-3,28:53,47434,58736,8,24
LPL,LPL/2025 Season/Grand Finals_Round 2_3_3,LPL/2025 Season/Grand Finals_Round 2_3,Weibo Gaming,JD Gaming,5.0,1-3,31:40,57627,47808,6,1
LPL,LPL/2025 Season/Grand Finals_Round 2_3_4,LPL/2025 Season/Grand Finals_Round 2_3,JD Gaming,Weibo Gaming,5.0,1-3,29:43,56290,53036,14,13
LPL,LPL/2025 Season/Grand Finals_Round 2_4_1,LPL/2025 Season/Grand Finals_Round 2_4,Anyone's Legend,Invictus Gaming,5.0,0-3,25:39,37959,53975,2,25
LPL,LPL/2025 Season/Grand Finals_Round 2_4_2,LPL/2025 Season/Grand Finals_Round 2_4,Anyone's Legend,Invictus Gaming,5.0,0-3,29:45,44595,62330,4,26
LPL,LPL/2025 Season/Grand Finals_Round 2_4_3,LPL/2025 Season/Grand Finals_Round 2_4,Anyone's Legend,Invictus Gaming,5.0,0-3,27:25,41441,55614,4,21
LPL,LPL/2025 Season/Grand Finals_Round 3_1_1,LPL/2025 Season/Grand Finals_Round 3_1,Anyone's Legend,JD Gaming,5.0,0-3,42:24,79561,72425,19,15
LPL,LPL/2025 Season/Grand Finals_Round 3_1_2,LPL/2025 Season/Grand Finals_Round 3_1,Anyone's Legend,JD Gaming,5.0,0-3,43:44,76357,81959,18,19
LPL,LPL/2025 Season/Grand Finals_Round 3_1_3,LPL/2025 Season/Grand Finals_Round 3_1,Anyone's Legend,JD Gaming,5.0,0-3,32:06,54824,61068,14,17
LPL,LPL/2025 Season/Grand Finals_Round 4_1_1,LPL/2025 Season/Grand Finals_Round 4_1,Bilibili Gaming,Top Esports,5.0,2-3,36:36,65284,69599,15,14
LPL,LPL/2025 Season/Grand Finals_Round 4_1_2,LPL/2025 Season/Grand Finals_Round 4_1,Top Esports,Bilibili Gaming,5.0,2-3,39:05,73390,67850,14,11
LPL,LPL/2025 Season/Grand Finals_Round 4_1_3,LPL/2025 Season/Grand Finals_Round 4_1,Top Esports,Bilibili Gaming,5.0,2-3,26:28,40818,56227,3,25
